trial_id	session_id	mode_id	participant_id	expected_sentence	typed_sentence	msd	wpm	start_tstamp	end_tstamp	duration
26	5	eyeswipe1	A10	Every apple from every tree.	Every apple from every tree.	0.0	12.154405972164911	9360.0	80451.0	26657.0
27	5	eyeswipe1	A10	He watched in astonishment.	He watched in astonishment.	0.0	16.499206768905342	80452.0	105123.0	18910.0
28	5	eyeswipe1	A10	There will be some fog tonight.	There will be some fog tonight.	0.0	10.008062049984709	105124.0	146154.0	35971.0
29	5	eyeswipe1	A10	I can play much better now.	I can play much better now.	0.0	7.671690968550986	146155.0	192858.0	40669.0
30	5	eyeswipe1	A10	This person is a disaster.	This person is a disaster.	0.0	6.464402689191519	192859.0	244283.0	46408.0
31	5	eyeswipe1	A10	Stiff penalty for staying out late.	Stiff penalty for staying out late.	0.0	6.363168483600804	244284.0	314326.0	64119.0
32	6	eyeswipe1	A10	Our silver anniversary is coming.	Outer our silver anniversary is coming.	6.0	8.996922105595454	8446.0	65259.0	50684.0
33	6	eyeswipe1	A10	The living is easy.	The living is easy.	0.0	11.547097188068	65260.0	89398.0	18706.0
34	6	eyeswipe1	A10	Sad to hear that news.	Sad to hear that news.	0.0	12.84272755070839	89399.0	114531.0	19622.0
35	6	eyeswipe1	A10	They love to yap about nothing.	They love to yap about nothing.	0.0	12.44124965440973	114531.0	148391.0	28936.0
36	6	eyeswipe1	A10	The trains are always late.	The trains are always late.	0.0	11.24526941791314	148391.0	181785.0	27745.0
37	6	eyeswipe1	A10	Fine but only in moderation.	Fine but only in moderation.	0.0	14.939136849870899	181786.0	208178.0	21688.0
38	6	eyeswipe1	A10	Your etiquette needs some work.	Your etiquette needs some work.	0.0	9.935968204901744	208179.0	250876.0	36232.0
39	6	eyeswipe1	A10	Neither a borrower nor a lender be.	Neither a borrower nor a lender be.	0.0	15.360867437219984	250877.0	286272.0	26561.0
40	6	eyeswipe1	A10	Wear a crown with many jewels.	Wear a crown with many jewels.	0.0	13.233448682359203	286273.0	318135.0	26297.0
66	10	eyeswipe1	A10	Weeping willows are found near water.	Weeping willows are found near water.	0.0	13.711673966863454	8503.0	44875.0	31506.0
